account	period	atr	rr	model	threshold	min_conf	kept	pnl	pf	wr	max_dd_pct	avg_pnl	avg_r
C	2025-10-01	1.5	1.5	UNFILTERED	—	0.45	123	862.7540000000049	1.3206394995556987	0.43089430894308944	31.995724160866303	7.014260162601666	5.22953043149167
C	2025-10-01	1.5	1.5	V4	0.65	0.45	80	1107.9870000000042	1.691595826157738	0.5	15.455971059132926	13.849837500000053	21.825119725609696
C	2025-10-01	1.5	2.0	UNFILTERED	—	0.45	111	-355.5619999999967	0.8836828455080302	0.3153153153153153	62.08743109424737	-3.2032612612612317	-11.760757102549418
C	2025-10-01	1.5	2.0	V4	0.65	0.45	67	-277.73899999999776	0.8616969202630635	0.3283582089552239	53.86487933190834	-4.145358208955191	-9.358835296430517
C	2025-10-01	1.5	2.5	UNFILTERED	—	0.45	103	270.56400000000394	1.0974889823873148	0.34951456310679613	45.85763110076101	2.626834951456349	6.946478118197591
C	2025-10-01	1.5	2.5	V4	0.65	0.45	59	251.24400000000423	1.142994388225521	0.3898305084745763	38.07747439036105	4.258372881356004	17.351704962641392
C	2025-10-01	1.5	3.0	UNFILTERED	—	0.45	91	1193.705000000004	1.509717993093624	0.3956043956043956	31.305300428490067	13.117637362637407	32.15882422542657
C	2025-10-01	1.5	3.0	V4	0.65	0.45	57	845.0000000000036	1.538153147559049	0.45614035087719296	22.48632780842708	14.824561403508836	45.02763555952275
C	2025-10-01	2.0	1.5	UNFILTERED	—	0.45	98	-77.13700000000333	0.9749735011824286	0.3877551020408163	43.17913890100214	-0.7871122448979931	-5.510726085297108
C	2025-10-01	2.0	1.5	V4	0.65	0.45	57	-116.35100000000419	0.9405926590824011	0.42105263157894735	41.89088771280088	-2.0412456140351614	-0.027101242310103066
C	2025-10-01	2.0	2.0	UNFILTERED	—	0.45	91	-1014.8010000000045	0.7041326631911707	0.31868131868131866	101.20099675996248	-11.15165934065939	-15.426718672160582
C	2025-10-01	2.0	2.0	V4	0.65	0.45	52	-694.5100000000043	0.7000852013502651	0.34615384615384615	79.78588883132171	-13.35596153846162	-11.926160279385549
C	2025-10-01	2.0	2.5	UNFILTERED	—	0.45	84	20.39399999999894	1.0068419481133812	0.32142857142857145	45.04810742285744	0.24278571428570167	-4.448779727151933
C	2025-10-01	2.0	2.5	V4	0.65	0.45	54	215.84099999999634	1.1022533145478144	0.35185185185185186	34.092721334580204	3.997055555555488	3.0288909543225135
C	2025-10-01	2.0	3.0	UNFILTERED	—	0.45	82	732.8659999999995	1.2694051270589546	0.34146341463414637	32.96519063134067	8.937390243902433	7.3823180343910275
C	2025-10-01	2.0	3.0	V4	0.65	0.45	50	419.04599999999846	1.2136297107444958	0.34	30.91564239941175	8.38091999999997	8.020408703346352
C	2025-10-01	2.5	1.5	UNFILTERED	—	0.45	84	257.7340000000027	1.0838930893192187	0.4166666666666667	44.46210960341033	3.068261904761937	0.9760391648388262
C	2025-10-01	2.5	1.5	V4	0.65	0.45	51	196.4620000000005	1.0929979143609927	0.45098039215686275	40.22019935126917	3.8521960784313825	8.576742242655799
C	2025-10-01	2.5	2.0	UNFILTERED	—	0.45	78	-426.8580000000042	0.870884745810902	0.3717948717948718	72.63372607960514	-5.472538461538515	-0.9201486862400226
C	2025-10-01	2.5	2.0	V4	0.65	0.45	49	100.41799999999473	1.0461992089573569	0.42857142857142855	44.70750325599363	2.0493469387754026	13.796846341413637
C	2025-10-01	2.5	2.5	UNFILTERED	—	0.45	75	-441.2680000000046	0.869823769962244	0.32	72.10857861961806	-5.883573333333394	-4.545019700132432
C	2025-10-01	2.5	2.5	V4	0.65	0.45	50	150.47099999999546	1.063387570692867	0.36	45.200322757038826	3.009419999999909	9.168686047322343
C	2025-10-01	2.5	3.0	UNFILTERED	—	0.45	68	1822.7099999999973	1.7976091548417492	0.4117647058823529	20.051002003106113	26.804558823529373	23.309824089878774
C	2025-10-01	2.5	3.0	V4	0.65	0.45	44	1737.973999999997	2.082010527659228	0.4318181818181818	22.490388287177637	39.49940909090902	35.601083933108676
C	2025-10-01	3.0	1.5	UNFILTERED	—	0.45	75	-179.4579999999996	0.9464498696741332	0.41333333333333333	61.50912318341012	-2.392773333333328	-2.2282214948394956
C	2025-10-01	3.0	1.5	V4	0.65	0.45	48	348.10000000000133	1.1541637953788955	0.4583333333333333	38.699940492017014	7.252083333333361	8.565452276829165
C	2025-10-01	3.0	2.0	UNFILTERED	—	0.45	71	-55.609999999999694	0.9834174586934891	0.38028169014084506	55.897012119100644	-0.783239436619714	1.7577233811856365
C	2025-10-01	3.0	2.0	V4	0.65	0.45	46	381.38000000000005	1.1725133078334378	0.43478260869565216	35.8590423475523	8.290869565217392	13.115748334241818
