account	period	atr	rr	model	threshold	min_conf	kept	pnl	pf	wr	max_dd_pct	avg_pnl	avg_r
D	2025-10-01	2.5	3.0	UNFILTERED	—	0.45	61	660.6049999999977	1.3044565726358004	0.4098360655737705	29.273359877264703	10.82959016393439	16.97920053118562
D	2025-10-01	2.5	3.0	V4+v6-OR	0.50	0.45	21	712.5970000000016	2.0045321138681316	0.5238095238095238	15.106599271280682	33.93319047619055	74.29943744947133
