account	period	model	threshold	kept	pnl	pf	wr	max_dd_pct	avg_pnl	avg_r
B	2025-10-01	UNFILTERED	—	84	20.39399999999894	1.0068419481133812	0.32142857142857145	45.04810742285744	0.24278571428570167	-4.448779727151933
B	2025-10-01	V4	0.45	34	724.0630000000001	1.6277514840609217	0.38235294117647056	20.91236456049244	21.295970588235296	18.886876517368183
B	2025-10-01	V4	0.50	43	765.5029999999989	1.539471848207099	0.37209302325581395	21.89232067238017	17.802395348837184	16.072842634223164
B	2025-10-01	V4	0.55	48	421.0779999999973	1.2387860799325834	0.3333333333333333	29.498829179234864	8.772458333333278	3.981921526491584
B	2025-10-01	V4	0.60	51	349.79799999999756	1.1880340226340917	0.3333333333333333	31.891848252512233	6.858784313725442	0.1936840299039611
B	2025-10-01	V4	0.65	54	215.84099999999634	1.1022533145478144	0.35185185185185186	34.092721334580204	3.997055555555488	3.0288909543225135
B	2025-10-01	V5	0.45	40	342.94799999999856	1.2257551271628535	0.325	23.039347367475226	8.573699999999963	1.8218617875327427
B	2025-10-01	V5	0.50	40	342.94799999999856	1.2257551271628535	0.325	23.039347367475226	8.573699999999963	1.8218617875327427
B	2025-10-01	V5	0.55	43	469.5979999999991	1.3015036725050073	0.3488372093023256	18.37375457949731	10.920883720930211	8.11420368023143
B	2025-10-01	V5	0.60	44	472.7109999999985	1.3035023627304936	0.36363636363636365	18.37375457949731	10.743431818181783	8.013602078925437
B	2025-10-01	V5	0.65	44	472.7109999999985	1.3035023627304936	0.36363636363636365	18.37375457949731	10.743431818181783	8.013602078925437
B	2025-10-01	V6	0.45	26	551.8780000000002	1.727120611443352	0.34615384615384615	26.40130796397579	21.226076923076928	18.335079943712547
B	2025-10-01	V6	0.50	35	106.44200000000001	1.0809204259417922	0.3142857142857143	24.69418382660729	3.0412000000000003	7.251669274361725
B	2025-10-01	V6	0.55	40	57.120000000001255	1.0390264966135367	0.3	25.551941169469565	1.4280000000000315	2.595400190922138
B	2025-10-01	V6	0.60	42	153.60300000000143	1.1049472506885332	0.3333333333333333	25.221474730453803	3.65721428571432	6.46556613331601
B	2025-10-01	V6	0.65	45	75.79300000000194	1.0475787523046138	0.3333333333333333	30.25182897258556	1.684288888888932	4.391012701385961
B	2025-10-01	V4+v6-OR	0.45	12	705.636	3.6096198936382784	0.5	8.142360466411573	58.803	66.73129422707194
B	2025-10-01	V4+v6-OR	0.50	19	497.16700000000037	1.8744611206579673	0.3684210526315789	14.040568312644517	26.166684210526334	27.0724110786346
B	2025-10-01	V4+v6-OR	0.55	23	219.64699999999948	1.259611304622243	0.30434782608695654	20.67568754085248	9.549869565217369	4.972861325828582
B	2025-10-01	V4+v6-OR	0.60	25	316.12999999999965	1.373649181323805	0.36	17.229629871869623	12.645199999999987	11.28454321825777
B	2025-10-01	V4+v6-OR	0.65	29	49.67999999999894	1.0405221550478132	0.3448275862068966	27.759134717293925	1.7131034482758256	8.003726663516906
B	2024-01-01	UNFILTERED	—	363	-39.43599999999648	0.9941297760693262	0.3443526170798898	46.547909469710376	-0.10863911845729059	-0.9493105072456994
B	2024-01-01	V4	0.45	101	1282.8050000000012	1.688031052455996	0.44554455445544555	16.64585373548293	12.701039603960409	29.71841556277562
B	2024-01-01	V4	0.50	119	1239.4570000000008	1.544635755885742	0.42016806722689076	16.105862464865204	10.415605042016812	23.347724397082033
B	2024-01-01	V4	0.55	131	988.3879999999986	1.3699695194417891	0.4122137404580153	23.01991103333737	7.544946564885485	20.922022071074032
B	2024-01-01	V4	0.60	141	738.3779999999992	1.2505397589331244	0.3900709219858156	26.663868293660443	5.236723404255314	13.188159883434073
B	2024-01-01	V4	0.65	163	545.3319999999994	1.158006104884052	0.3803680981595092	28.926267531203674	3.3455950920245363	9.427165660403954
B	2024-01-01	V5	0.45	180	598.4819999999995	1.1770734339846833	0.3611111111111111	22.94941877554962	3.3248999999999973	8.514851590825153
B	2024-01-01	V5	0.50	182	558.0050000000001	1.1631436624956255	0.35714285714285715	23.252955224682346	3.065961538461539	7.322380694222678
B	2024-01-01	V5	0.55	187	675.7580000000007	1.1948759830558677	0.3582887700534759	26.05476707510456	3.6136791443850305	7.533206273246895
B	2024-01-01	V5	0.60	189	635.7759999999998	1.1810953062130172	0.35978835978835977	26.05476707510456	3.363894179894179	6.943901091639879
B	2024-01-01	V5	0.65	192	612.0909999999999	1.1728010872428238	0.359375	27.857510242732992	3.1879739583333326	6.535757462976289
B	2024-01-01	V6	0.45	96	108.7540000000026	1.057515779898513	0.3125	68.09604786002552	1.1328541666666938	-11.209934503553242
B	2024-01-01	V6	0.50	154	-32.48399999999676	0.9890872405977236	0.33766233766233766	50.60769320097237	-0.2109350649350439	-1.6345896066908294
B	2024-01-01	V6	0.55	203	85.02100000000472	1.0232916187594236	0.3497536945812808	38.796573384776295	0.4188226600985454	1.347999669762412
B	2024-01-01	V6	0.60	236	498.89200000000756	1.1260305989719863	0.3728813559322034	27.170166260570277	2.113949152542405	8.209284478567753
B	2024-01-01	V6	0.65	267	341.0190000000084	1.0766111195855432	0.36704119850187267	25.81308481529873	1.2772247191011552	7.035962434247167
B	2024-01-01	V4+v6-OR	0.45	41	645.929000000001	1.9569729662459607	0.43902439024390244	12.482458182895302	15.75436585365856	17.510648481247305
B	2024-01-01	V4+v6-OR	0.50	65	504.9070000000024	1.437067180509968	0.4	17.532919615532908	7.767800000000038	10.287258186247819
B	2024-01-01	V4+v6-OR	0.55	85	291.4360000000006	1.1822829590239252	0.3764705882352941	19.753388668853077	3.428658823529419	5.501135705478866
B	2024-01-01	V4+v6-OR	0.60	101	681.869000000001	1.4013080919725325	0.42574257425742573	14.007711276553275	6.751178217821793	21.106387859244467
B	2024-01-01	V4+v6-OR	0.65	128	326.8070000000016	1.1364498741164148	0.390625	23.312824573520928	2.5531796875000126	12.149796236568973
C	2025-10-01	UNFILTERED	—	81	595.6159999999959	1.24093884338708	0.3950617283950617	29.34080621244052	7.353283950617233	5.971959768272991
C	2025-10-01	V4	0.45	34	180.17100000000028	1.142857935759085	0.38235294117647056	35.9003000872702	5.299147058823538	2.5569356562851664
C	2025-10-01	V4	0.50	40	532.6090000000004	1.3936009518390151	0.425	20.464896407597035	13.315225000000009	15.898128791898785
C	2025-10-01	V4	0.55	45	722.6789999999992	1.496573972913359	0.4444444444444444	22.074286355056742	16.059533333333317	20.875060925389313
C	2025-10-01	V4	0.60	47	600.3059999999987	1.380493667059008	0.425531914893617	22.54348173149553	12.772468085106356	15.73144131154296
C	2025-10-01	V4	0.65	49	694.2139999999981	1.4400156429949094	0.4489795918367347	21.445061703219196	14.167632653061187	19.246458965187486
C	2025-10-01	V5	0.45	37	237.40999999999758	1.191543554959952	0.35135135135135137	23.63794748413325	6.416486486486421	5.133077115067863
C	2025-10-01	V5	0.50	38	206.08499999999776	1.1621717965787974	0.34210526315789475	24.268648452971618	5.423289473684152	2.36641719098713
C	2025-10-01	V5	0.55	41	314.94499999999834	1.2414690938420745	0.36585365853658536	22.209317280972176	7.681585365853618	7.706747845109923
C	2025-10-01	V5	0.60	43	289.89299999999776	1.217563559512836	0.37209302325581395	22.707855138995146	6.741697674418552	5.1084742993552235
C	2025-10-01	V5	0.65	43	289.89299999999776	1.217563559512836	0.37209302325581395	22.707855138995146	6.741697674418552	5.1084742993552235
C	2025-10-01	V6	0.45	21	122.85799999999743	1.232885411157673	0.42857142857142855	19.667312495623275	5.85038095238083	6.590193894844338
C	2025-10-01	V6	0.50	28	432.1179999999981	1.7173130681327684	0.4642857142857143	10.947131775056812	15.432785714285647	24.39807628213509
C	2025-10-01	V6	0.55	34	114.73099999999793	1.1247348605510528	0.38235294117647056	25.772963888046096	3.3744411764705275	2.445474585287721
C	2025-10-01	V6	0.60	41	722.5849999999973	1.688954380853036	0.4146341463414634	22.14966804691302	17.624024390243836	10.334941980998284
C	2025-10-01	V6	0.65	45	523.9299999999976	1.4033212243820214	0.4	22.14966804691302	11.642888888888836	5.55054255964501
C	2025-10-01	V4+v6-OR	0.45	11	-61.99000000000069	0.7758452359428658	0.45454545454545453	12.415322486519388	-5.635454545454608	3.176304048200865
C	2025-10-01	V4+v6-OR	0.50	15	178.2550000000001	1.5077115880317293	0.4666666666666667	10.753752421858675	11.883666666666674	19.69008846176802
C	2025-10-01	V4+v6-OR	0.55	21	139.96299999999928	1.2229910365770098	0.42857142857142855	22.049134267551672	6.664904761904728	9.465970533900228
C	2025-10-01	V4+v6-OR	0.60	26	663.9369999999985	1.9113604168496847	0.46153846153846156	21.690982515931893	25.536038461538404	16.899261196934166
C	2025-10-01	V4+v6-OR	0.65	29	548.3519999999985	1.5865404774027352	0.4482758620689655	21.690982515931893	18.908689655172363	15.151441570661667
C	2024-01-01	UNFILTERED	—	352	280.65999999999434	1.0454617315435015	0.36079545454545453	54.405088300656345	0.7973295454545294	-1.6581547451907335
C	2024-01-01	V4	0.45	102	503.77700000000027	1.2476108979327627	0.4215686274509804	29.757184781746492	4.938990196078434	14.310328569649101
C	2024-01-01	V4	0.50	126	776.5720000000008	1.3191823770121218	0.4126984126984127	19.193831197711997	6.163269841269847	13.56108489634108
C	2024-01-01	V4	0.55	142	1090.0580000000002	1.4155690572307265	0.4295774647887324	18.511865522937224	7.676464788732396	17.254965571323066
C	2024-01-01	V4	0.60	152	819.5410000000004	1.2801206970982042	0.40789473684210525	26.049477221016254	5.391717105263161	11.514302422248386
C	2024-01-01	V4	0.65	166	955.376	1.3117135999812066	0.41566265060240964	21.86989907192258	5.755277108433734	12.635485892716567
C	2024-01-01	V5	0.45	169	506.01200000000017	1.1724418550759408	0.38461538461538464	22.703675164296996	2.9941538461538473	7.8602124297665865
C	2024-01-01	V5	0.50	173	419.61800000000085	1.1389102041654062	0.37572254335260113	23.290051425599113	2.42553757225434	5.36633468572574
C	2024-01-01	V5	0.55	178	486.4310000000014	1.1570988051046112	0.37640449438202245	23.290051425599113	2.7327584269663	5.361959039452524
C	2024-01-01	V5	0.60	182	418.2990000000009	1.1320562081561876	0.37362637362637363	23.290051425599113	2.298346153846159	3.6160244079413015
C	2024-01-01	V5	0.65	186	385.6050000000009	1.119121539465295	0.3709677419354839	26.12497788406443	2.0731451612903276	3.0007721695945353
C	2024-01-01	V6	0.45	90	-502.61000000000536	0.693885878833352	0.2777777777777778	76.51250000000039	-5.584555555555615	-28.089131861655304
C	2024-01-01	V6	0.50	137	-85.5650000000044	0.9610064807670992	0.34306569343065696	55.8270275422659	-0.6245620437956526	-7.409168071110218
